Codrecurso,URLNombreCast,Nombre,URLNombreBuscador,CodCategoria,IdRecursoCategoria,IDCATEGORIA,NombreLocalidad,Tipo,Especialidad,Path,ImgFichero,DescripZona,Distancia,GEORR_X,GEORR_Y,DIPLOMACOMPROMISO
"1698","Atalaya","Atalaya","Restauracion","081101                                            ","2587","02020000","PERALTA","Cafeterías","","","","La Ribera","","599111","4688085","NO"
"6540","Auñamendi","Auñamendi","Restauracion","081002","6512","02010000","OCHAGAVÍA","Restaurantes","Casera o regional","02\01\00\00\","6540FotoTH1.JPG","Pirineos","","655920","4752007","NO"
"76","Auzoa","Auzoa","Restauracion","","6806","02040000","BERA","Restaurantes","","01\01\03\00\","76FotoTH1.jpg","Pirineos","","607416","4792930","NO"
"1404","Auzoa","Auzoa","Restauracion","081001","2293","02010000","BERA","Restaurantes","Casera o regional","02\01\00\00\","1404FotoTH1.jpg","Pirineos","","607428","4792914","NO"
"1144","Avanti","Avanti","Restauracion","081005","2033","02010000","TUDELA","Restaurantes","","02\01\00\00\","1144FotoTH1.JPG","La Ribera","","614157","4657612","NO"
"1368","Avenida","Avenida","Restauracion","081005","2257","02010000","FUNES","Restaurantes","Casera o regional","","","La Ribera","","598964","4685466","NO"
"1498","Avenida","Avenida","Restauracion","081005","2387","02010000","CORELLA","Restaurantes","Casera o regional","02\01\00\00\","1498FotoTH1.jpg","La Ribera","","600544","4663289","NO"
"6428","Ayestarán I","Ayestarán I","Restauracion","081002","6438","02010000","LEKUNBERRI","Restaurantes","Casera o regional","02\01\00\00\","6428FotoTH1.JPG","Pirineos","","590111","4761679","NO"
"6429","Ayestarán II","Ayestarán II","Restauracion","081002","6439","02010000","LEKUNBERRI","Restaurantes","Casera o regional","02\01\00\00\","6429FotoTH1.JPG","Pirineos","","590162","4761778","NO"
"1526","Azketa","Azketa","Restauracion","081002","2415","02010000","ZUGARRAMURDI","Restaurantes","Casera o regional","02\01\00\00\","1526FotoTH1.jpg","Pirineos","","618388","4791872","NO"
"997","Badar","Badar","Restauracion","081005","1886","02010000","PAMPLONA","Restaurantes","Casera o regional","02\01\00\00\","997FotoTH1.jpg","Cuenca de Pamplona","","610986","4742899","NO"
"1610","Bahia","Bahia","Restauracion","081101                                            ","2499","02020000","PAMPLONA","Cafeterías","","","","Cuenca de Pamplona","","610881","4741155","NO"
"1671","Baja Navarra","Baja Navarra","Restauracion","081101                                            ","2560","02020000","PAMPLONA","Cafeterías","","","","Cuenca de Pamplona","","611442","4740972","NO"
"4885","Balneario de Elgorriaga","Balneario de Elgorriaga","Restauracion","","3045","02040000","ELGORRIAGA","Restaurantes","Casera o regional","01\01\01\00\","4885FotoTH1.jpg","Pirineos","","606548","4774604","SI"
"6467","Balneario de Elgorriaga","Balneario de Elgorriaga","Restauracion","081002","6531","02010000","ELGORRIAGA","Restaurantes","Casera o regional","02\01\00\00\","6467FotoTH1.JPG","Pirineos","","606548","4774604","NO"
"1164","Baluarte","Baluarte","Restauracion","081005","2053","02010000","PAMPLONA","Restaurantes","","02\01\00\00\","1164FotoTH1.jpg","Cuenca de Pamplona","","610590","4741009","NO"
"5328","Bambú Chino","Bambú Chino","Restauracion","081002","2850","02010000","BERRIOZAR","Restaurantes","Internacional","02\01\00\00\","5328FotoTH1.jpg","Cuenca de Pamplona","","608143","4743692","NO"
"4652","Bar Olary","Bar Olary","Restauracion","                                                  ","2750","02030000","PAMPLONA","Bares de pinchos","","02\03\00\00\","4652FotoTH1.jpg","Cuenca de Pamplona","","610152","4739968","NO"
"1288","Baraibar","Baraibar","Restauracion","081005","2177","02010000","BARAIBAR","Restaurantes","Casera o regional","02\01\00\00\","1288FotoTH1.jpg","Pirineos","","587810","4760186","NO"
"6773","Baratza Kafea","Baratza Kafea","Restauracion","081101","6679","02020000","PAMPLONA","Cafeterías","Otros","","","Cuenca de Pamplona","","610258","4741845","NO"
"7305","Baratze","Baratze","Restauracion","081002","7279","02010000","AURIZBERRI/ESPINAL","Restaurantes","Casera o regional","02\01\00\00\","7305FotoTH1.JPG","Pirineos","","634449","4759151","NO"
"5244","Bardenas","Bardenas","Restauracion","081005","2836","02010000","ARGUEDAS","Restaurantes","Casera o regional","02\01\00\00\","5244FotoTH1.jpg","La Ribera","","615985","4670080","NO"
