Codrecurso,URLNombreCast,Nombre,URLNombreBuscador,CodCategoria,IdRecursoCategoria,IDCATEGORIA,NombreLocalidad,Tipo,Especialidad,Path,ImgFichero,DescripZona,Distancia,GEORR_X,GEORR_Y,DIPLOMACOMPROMISO
"214","Ekai","Ekai","Restauracion","","2983","02040000","EKAI DE LÓNGUIDA","Restaurantes","Casera o regional","01\01\01\00\","214FotoTH1.JPG","Pirineos","","632073","4737263","SI"
"1514","Ekai","Ekai","Restauracion","081002","2403","02010000","EKAI DE LÓNGUIDA","Restaurantes","Casera o regional","02\01\00\00\","1514FotoTH1.jpg","Pirineos","","632073","4737263","SI"
"1258","El Abuelo","El Abuelo","Restauracion","081005","2147","02010000","PAMPLONA","Restaurantes","Casera o regional","02\01\00\00\","1258FotoTH1.jpg","Cuenca de Pamplona","","611649","4742231","NO"
"5570","El Abuelo","El Abuelo","Restauracion","                                                  ","2888","02030000","PAMPLONA","Bares de pinchos","","","","Cuenca de Pamplona","","611684","4742218","NO"
"5318","El Alcorce","El Alcorce","Restauracion","                                                  ","2845","02030000","TAFALLA","Bares de pinchos","","02\03\00\00\","5318FotoTH1.jpg","Zona Media","","609088","4709513","NO"
"1601","El Alivio","El Alivio","Restauracion","081101                                            ","2490","02020000","PAMPLONA","Cafeterías","","","","Cuenca de Pamplona","","609271","4740676","NO"
"3957","El Bosquecillo","El Bosquecillo","Restauracion","081101                                            ","2695","02020000","PAMPLONA","Cafeterías","","","","Cuenca de Pamplona","","610288","4741332","NO"
"4697","El Café de Baluarte","El Café de Baluarte","Restauracion","081101                                            ","2769","02020000","PAMPLONA","Cafeterías","","","","Cuenca de Pamplona","","610628","4741043","NO"
"4168","El Café de Felisa","El Café de Felisa","Restauracion","081005","2709","02010000","PAMPLONA","Restaurantes","","02\01\00\00\","4168FotoTH1.jpg","Cuenca de Pamplona","","610888","4740297","NO"
"7357","El Cantero","El Cantero","Restauracion","081101","7439","02020000","MAÑERU","Cafeterías","","","","Zona Media","","0","0","NO"
"279","El Castillo","El Castillo","Restauracion","","3006","02040000","LARRAGA","Restaurantes","Asador","01\01\01\00\","279FotoTH1.jpg","Zona Media","","594633","4712574","NO"
"1588","El Castillo","El Castillo","Restauracion","081005","2477","02010000","SAN MARTÍN DE UNX","Restaurantes","Casera o regional","02\01\00\00\","1588FotoTH1.jpg","Zona Media","","618038","4708888","NO"
"6845","El Castillo","El Castillo","Restauracion","081002","6958","02010000","LARRAGA","Restaurantes","Asador, Casera o regional","02\01\00\00\","6845FotoTH1.JPG","Zona Media","","594633","4712574","NO"
"118","El Cerco","El Cerco","Restauracion","","2944","02040000","ARTAJONA","Restaurantes","Casera o regional","01\01\04\00\","118FotoTH1.jpg","Zona Media","","601457","4715831","NO"
"5987","El Che","El Che","Restauracion","","5912","02030000","ESTELLA-LIZARRA","Bares de pinchos","","02\03\00\00\","5987FotoTH1.JPG","Zona Media","","579458","4724667","NO"
"5243","El Chupinazo","El Chupinazo","Restauracion","081001","2835","02010000","PAMPLONA","Restaurantes","Casera o regional","02\01\00\00\","5243FotoTH1.jpg","Cuenca de Pamplona","","611083","4741301","NO"
"5474","El chupinazo","El chupinazo","Restauracion","                                                  ","2865","02030000","PAMPLONA","Bares de pinchos","","02\03\00\00\","5474FotoTH1.jpg","Cuenca de Pamplona","","611082","4741300","NO"
"1569","El Cortijo","El Cortijo","Restauracion","081002","2458","02010000","PERALTA","Restaurantes","Asador","02\01\00\00\","1569FotoTH1.jpg","La Ribera","","598002","4688042","NO"
"54","El Corzo","El Corzo","Restauracion","","2918","02040000","VILLAFRANCA","Restaurantes","Casera o regional","01\01\03\00\","54FotoTH1.jpg","La Ribera","","603710","4681963","NO"
"998","El Crucero","El Crucero","Restauracion","081005","1887","02010000","CORELLA","Restaurantes","","02\01\00\00\","998FotoTH1.jpg","La Ribera","","600540","4663259","NO"
"1590","El Embrujo","El Embrujo","Restauracion","081003","2479","02010000","PAMPLONA","Restaurantes","De autor","02\01\00\00\","1590FotoTH1.jpg","Cuenca de Pamplona","","611061","4740627","NO"
"4712","El embrujo","El embrujo","Restauracion","                                                  ","2779","02030000","PAMPLONA","Bares de pinchos","","02\03\00\00\","4712FotoTH1.jpg","Cuenca de Pamplona","","611061","4740627","NO"
"1328","El Espejo","El Espejo","Restauracion","081005","2217","02010000","PAMPLONA","Restaurantes","Casera o regional","02\01\00\00\","1328FotoTH1.jpg","Cuenca de Pamplona","","610602","4741201","NO"
"1272","El Figón","El Figón","Restauracion","081002","2161","02010000","PAMPLONA","Restaurantes","Casera o regional","02\01\00\00\","1272FotoTH1.jpg","Cuenca de Pamplona","","609788","4740504","NO"
"1558","El Fogón de Noain","El Fogón de Noain","Restauracion","081005","2447","02010000","NOÁIN","Restaurantes","Casera o regional","02\01\00\00\","1558FotoTH1.jpg","Cuenca de Pamplona","","612589","4734699","NO"
"1291","El Fruto","El Fruto","Restauracion","081005","2180","02010000","MURILLO EL FRUTO","Restaurantes","Casera o regional","02\01\00\00\","1291FotoTH1.jpg","La Ribera","","626747","4694631","NO"
"4474","El Halcón","El Halcón","Restauracion","081005","2735","02010000","PAMPLONA","Restaurantes","Rápida","02\01\00\00\","4474FotoTH1.jpg","Cuenca de Pamplona","","611686","4740703","NO"
"3350","El Kiosko","El Kiosko","Restauracion","                                                  ","2631","02030000","PAMPLONA","Bares de pinchos","","02\03\00\00\","3350FotoTH1.jpg","Cuenca de Pamplona","","611027","4741358","NO"
"1033","El Lechuguero","El Lechuguero","Restauracion","081003","1922","02010000","CASCANTE","Restaurantes","","02\01\00\00\","1033FotoTH1.JPG","La Ribera","","609398","4650508","NO"
"1094","El Maño","El Maño","Restauracion","081005","1983","02010000","PUEYO","Restaurantes","Casera o regional","02\01\00\00\","1094FotoTH1.jpg","Zona Media","","611392","4713175","NO"
"4705","El marrano","El marrano","Restauracion","                                                  ","2773","02030000","PAMPLONA","Bares de pinchos","","02\03\00\00\","4705FotoTH1.jpg","Cuenca de Pamplona","","610837","4741331","NO"
"4985","El Mercao","El Mercao","Restauracion","081003","2822","02010000","PAMPLONA","Restaurantes","Casera o regional, Innovadora, Oriental","02\01\00\00\","4985FotoTH1.jpg","Cuenca de Pamplona","","611496","4740882","NO"
"6555","El Mesón","El Mesón","Restauracion","081101","6680","02020000","URBIOLA","Cafeterías","Casera o regional","","","Zona Media","","573605","4718604","NO"
"7178","El Mesón","El Mesón","Restauracion","081002","7087","02010000","JAVIER","Restaurantes","","02\01\00\00\","7178FotoTH1.JPG","Zona Media","","646912","4716987","NO"
"75","El Mirador","El Mirador","Restauracion","","2928","02040000","BARÁSOAIN","Restaurantes","Casera o regional","01\01\03\00\","75FotoTH1.jpg","Zona Media","","611503","4718789","NO"
"7299","El Mirador","El Mirador","Restauracion","081001","7276","02010000","BARÁSOAIN","Restaurantes","","02\01\00\00\","7299FotoTH1.JPG","Zona Media","","611528","4718799","NO"
"7161","El Mirador de Olite","El Mirador de Olite","Restauracion","081002","7061","02010000","OLITE","Restaurantes","Asador, Casera o regional","02\01\00\00\","7161FotoTH1.JPG","Zona Media","","608914","4704015","NO"
"4178","El Molino","El Molino","Restauracion","081005","2712","02010000","URDAITZ/URDÁNIZ","Restaurantes","De autor","02\01\00\00\","4178FotoTH1.jpg","Pirineos","","618876","4754321","NO"
"1464","El Montecillo","El Montecillo","Restauracion","081005","2353","02010000","BUÑUEL","Restaurantes","Casera o regional","02\01\00\00\","1464FotoTH1.jpg","La Ribera","","625411","4645748","NO"
"1118","El Mosquito","El Mosquito","Restauracion","081002","2007","02010000","PAMPLONA","Restaurantes","Marisquería","02\01\00\00\","1118FotoTH1.jpg","Cuenca de Pamplona","","609317","4740921","NO"
"1026","El Olivo","El Olivo","Restauracion","081002","1915","02010000","MILAGRO","Restaurantes","","02\01\00\00\","1026FotoTH1.jpg","La Ribera","","600974","4677761","NO"
"4759","El Padrino","El Padrino","Restauracion","081005","2794","02010000","ALTSASU/ALSASUA","Restaurantes","Casera o regional","02\01\00\00\","4759FotoTH1.jpg","Pirineos","","568317","4749079","NO"
"1189","El Pañuelico","El Pañuelico","Restauracion","081001","2078","02010000","CORDOVILLA","Restaurantes","Casera o regional","02\01\00\00\","1189FotoTH1.jpg","Cuenca de Pamplona","","611258","4738373","NO"
"1575","El Paseo","El Paseo","Restauracion","081005","2464","02010000","PAMPLONA","Restaurantes","Casera o regional","02\01\00\00\","1575FotoTH1.jpg","Cuenca de Pamplona","","611597","4742356","NO"
"6622","El Patio de las Comedias","El Patio de las Comedias","Restauracion","081101","7066","02020000","PAMPLONA","Cafeterías","Casera o regional","02\02\00\00\","6622FotoTH1.JPG","Cuenca de Pamplona","","610871","4741313","NO"
"5485","El Pilar","El Pilar","Restauracion","                                                  ","2876","02030000","SANGÜESA","Bares de pinchos","","02\03\00\00\","5485FotoTH1.jpg","Zona Media","","641011","4715126","NO"
"1311","El Poste","El Poste","Restauracion","081005","2200","02010000","LARRAGA","Restaurantes","Casera o regional","02\01\00\00\","1311FotoTH1.jpg","Zona Media","","594272","4713381","NO"
